latitude,longitude,elevation_m
1.0,-79.0,2649
1.0,-78.7966,2589
1.0,-78.5932,1478
1.0,-78.3898,2838
1.0,-78.1864,1828
1.0,-77.9831,2067
1.0,-77.7797,1817
1.0,-77.5763,2095
1.0,-77.3729,1332
1.0,-77.1695,1465
1.0,-76.9661,3064
1.0,-76.7627,2133
1.0,-76.5593,1971
1.0,-76.3559,1172
1.0,-76.1525,1470
1.0,-75.9492,1886
1.0,-75.7458,2318
1.0,-75.5424,1432
1.0,-75.339,1775
1.0,-75.1356,1819
1.0,-74.9322,1379
1.0,-74.7288,944
1.0,-74.5254,1152
1.0,-74.322,1126
1.0,-74.1186,870
1.0,-73.9153,790
1.0,-73.7119,924
1.0,-73.5085,1201
1.0,-73.3051,233
1.0,-73.1017,730
1.0,-72.8983,1102
1.0,-72.6949,666
1.0,-72.4915,730
1.0,-72.2881,1039
1.0,-72.0847,813
1.0,-71.8814,227
1.0,-71.678,243
1.0,-71.4746,319
1.0,-71.2712,105
1.0,-71.0678,139
1.0,-70.8644,146
1.0,-70.661,223
1.0,-70.4576,165
1.0,-70.2542,202
1.0,-70.0508,314
1.0,-69.8475,120
1.0,-69.6441,166
1.0,-69.4407,150
1.0,-69.2373,184
1.0,-69.0339,104
1.0,-68.8305,260
1.0,-68.6271,233
1.0,-68.4237,251
1.0,-68.2203,404
1.0,-68.0169,263
1.0,-67.8136,0
1.0,-67.6102,249
1.0,-67.4068,182
1.0,-67.2034,135
1.0,-67.0,388
1.2245,-79.0,2006
1.2245,-78.7966,1770
1.2245,-78.5932,1594
1.2245,-78.3898,2817
1.2245,-78.1864,1862
1.2245,-77.9831,2649
1.2245,-77.7797,2687
1.2245,-77.5763,1877
1.2245,-77.3729,1623
1.2245,-77.1695,3021
1.2245,-76.9661,1378
1.2245,-76.7627,1529
1.2245,-76.5593,1854
1.2245,-76.3559,2547
1.2245,-76.1525,2592
1.2245,-75.9492,2068
1.2245,-75.7458,1397
1.2245,-75.5424,2540
1.2245,-75.339,2479
1.2245,-75.1356,2454
1.2245,-74.9322,819
1.2245,-74.7288,1113
1.2245,-74.5254,832
1.2245,-74.322,870
1.2245,-74.1186,937
1.2245,-73.9153,799
1.2245,-73.7119,852
1.2245,-73.5085,653
1.2245,-73.3051,949
1.2245,-73.1017,1141
1.2245,-72.8983,822
1.2245,-72.6949,919
1.2245,-72.4915,985
1.2245,-72.2881,773
1.2245,-72.0847,856
1.2245,-71.8814,193
1.2245,-71.678,0
1.2245,-71.4746,394
1.2245,-71.2712,21
1.2245,-71.0678,162
1.2245,-70.8644,172
1.2245,-70.661,311
1.2245,-70.4576,279
1.2245,-70.2542,194
1.2245,-70.0508,257
1.2245,-69.8475,281
1.2245,-69.6441,212
1.2245,-69.4407,210
1.2245,-69.2373,315
1.2245,-69.0339,187
1.2245,-68.8305,77
1.2245,-68.6271,229
1.2245,-68.4237,26
1.2245,-68.2203,276
1.2245,-68.0169,1
1.2245,-67.8136,97
1.2245,-67.6102,312
1.2245,-67.4068,256
1.2245,-67.2034,195
1.2245,-67.0,373
1.449,-79.0,1990
1.449,-78.7966,1442
1.449,-78.5932,2006
1.449,-78.3898,1299
1.449,-78.1864,2498
1.449,-77.9831,1713
1.449,-77.7797,1986
1.449,-77.5763,1878
1.449,-77.3729,909
1.449,-77.1695,2630
1.449,-76.9661,1377
1.449,-76.7627,2240
1.449,-76.5593,2633
1.449,-76.3559,1684
1.449,-76.1525,2037
1.449,-75.9492,1621
1.449,-75.7458,795
1.449,-75.5424,2172
1.449,-75.339,1751
1.449,-75.1356,1403
1.449,-74.9322,867
1.449,-74.7288,926
1.449,-74.5254,989
1.449,-74.322,765
1.449,-74.1186,676
1.449,-73.9153,1339
1.449,-73.7119,1044
1.449,-73.5085,694
